Girl on Fire (Inferno Version) - Alicia Keys (INTRO),00:00-00:20,10,9,2,1,6,9,2,8,5,4,3,1,3,2
Berceuse Op. 23 No. 1 - Mel Bonis (none),00:00-00:23,2,1,5,1,4,2,10,5,5,10,4,5,10,6
Rebel Girl – Bikini Kill (VERSE),00:10-00:35,8,5,5,1,7,10,2,8,5,8,8,5,3,2
Detroit - Marcus Miller (CHORUS),00:00-00:21,10,4,6,8,6,8,3,2,5,6,2,4,5,6
Chandelier - Sia (CHORUS),00:30-00:55,5,8,2,1,6,6,7,6,7,8,8,8,10,3
You don't know my name - Alicia Keys (CHORUS),00:33-00:57,5,5,5,1,5,6,5,3,3,7,7,10,5,5
Dry and Dusty - Fever Ray (CHORUS),01:20-01:42,3,9,2,1,3,3,6,5,5,7,4,2,5,3
Beat Connection - LCD Soundsystem (none),00:20-00:40,10,5,5,1,8,8,3,6,5,5,4,2,5,3
Aladdin Sane - David Bowie (INTERLUDE),02:00-02:30,4,5,5,1,5,6,5,4,5,1,7,5,5,6
Loud Pipes - Ratatat (none),00:00-00:20,7,3,8,1,5,7,3,3,7,6,4,3,5,2
Porno - Arcade Fire (INTRO),00:10-00:30,6,5,5,3,7,7,3,4,5,7,6,1,3,2
Comptine d'un autre été - Yann Tiersen (none),00:30-00:55,3,1,6,1,5,3,8,5,3,10,6,8,5,5
Another Star - Stevie Wonder (C-part),02:21-03:00,8,6,6,2,8,8,3,10,5,8,6,6,8,7
What is hip? - Tower of Power (INTRO),00:00-00:20,10,6,6,8,8,10,1,4,5,7,8,10,10,7
People Pleaser - Andy Allo (INTRO),00:18-00:40,9,5,10,6,4,10,2,2,5,5,5,3,8,7
Bad - Michael Jackson (INTRO),00:00-00:20,10,5,1,8,7,8,3,8,10,10,2,3,7,5
Monument (The Inevitable End Version) - Röyksopp (CHORUS),00:40-01:02,9,7,7,1,6,6,4,5,5,10,5,2,4,3
Le Sacre du Printemps/Part1 - Igor Stravinsky (none),00:20-00:40,8,1,1,8,9,10,3,5,5,3,10,8,5,10
The Leaving Song - Chris Garneau (INTRO),00:00-00:22,1,1,1,1,1,2,10,5,5,10,4,1,5,1
Space Oddity (feat. Neil Gaiman) - Jherek Bischoff & Amanda Palmer (CHORUS),01:36-02:00,4,1,4,1,6,6,4,6,5,10,6,3,10,5
Gobbledigook - Sigur Rós (VERSE),01:30-01:55,10,3,8,3,8,7,4,10,5,6,7,4,5,7
Love Like This – Wild Belle (VERSE),00:12-00:32,8,10,2,7,5,8,3,3,5,10,6,4,5,3
Open Your Heart - Madonna (CHORUS),00:50-01:15,7,5,6,1,6,5,4,4,5,10,5,5,8,4
I will always love you - Whitney Houston (CHORUS),01:44-02:07,3,3,3,1,3,2,9,3,5,10,8,6,5,4
Tonight (feat. Tina Turner) David Bowie (CHORUS),00:18-00:48,8,10,3,10,4,8,3,4,5,8,6,5,7,4
A new Error - Moderat (none),00:30-00:50,10,5,7,1,6,8,2,5,5,8,3,1,3,2
The Show Must Go On - Queen (CHORUS),00:57-01:21,7,6,5,1,5,7,3,4,5,10,8,6,4,5
Cosmic Love - Florence + the machine (VERSE),00:20-00:43,2,1,3,5,3,2,9,9,5,10,7,6,7,4
Gunshot - Lykke Li (CHORUS),00:44-01:04,8,3,7,3,6,5,5,6,5,10,7,3,5,4
Sense - Tom Odell (CHORUS),01:05-01:34,1,1,1,4,2,2,9,4,5,8,7,5,3,5
Don't stop me now - Queen (CHORUS),01:05-01:27,8,6,6,9,9,8,3,9,7,8,5,8,5,7
