Girl on Fire (Inferno Version) - Alicia Keys (INTRO),00:00-00:20,8,10,7,1,4,8,3,3,5,4,3,1,3,1
Berceuse Op. 23 No. 1 - Mel Bonis (none),00:00-00:23,3,1,8,3,3,3,7,5,8,10,7,5,8,6
Rebel Girl – Bikini Kill (VERSE),00:10-00:35,9,1,10,1,5,8,4,7,5,9,4,2,9,2
Detroit - Marcus Miller (CHORUS),00:00-00:21,10,1,7,9,8,9,3,3,6,8,3,7,2,8
Chandelier - Sia (CHORUS),00:30-00:55,3,9,4,1,3,1,8,3,8,9,8,6,3,2
You don't know my name - Alicia Keys (CHORUS),00:33-00:57,8,6,7,8,7,6,7,3,1,8,7,9,9,7
Dry and Dusty - Fever Ray (CHORUS),01:20-01:42,6,7,8,7,2,3,8,4,7,8,4,3,2,3
Beat Connection - LCD Soundsystem (none),00:20-00:40,3,8,8,1,6,1,10,8,5,10,4,3,5,2
Aladdin Sane - David Bowie (INTERLUDE),02:00-02:30,4,5,8,8,6,7,4,3,5,3,7,6,4,7
Loud Pipes - Ratatat (none),00:00-00:20,7,4,8,1,5,8,4,2,7,10,3,3,8,2
Porno - Arcade Fire (INTRO),00:10-00:30,3,8,4,1,3,3,8,3,7,7,4,2,3,2
Comptine d'un autre été - Yann Tiersen (none),00:30-00:55,7,1,7,1,7,3,10,3,8,10,8,8,8,5
Another Star - Stevie Wonder (C-part),02:21-03:00,9,6,8,7,8,4,4,3,7,7,8,8,7,6
What is hip? - Tower of Power (INTRO),00:00-00:20,10,10,7,3,9,9,3,5,5,9,4,4,1,3
People Pleaser - Andy Allo (INTRO),00:18-00:40,8,10,2,5,4,8,3,1,3,8,3,3,3,7
Bad - Michael Jackson (INTRO),00:00-00:20,9,1,9,1,5,8,7,3,9,8,3,2,2,4
Monument (The Inevitable End Version) - Röyksopp (CHORUS),00:40-01:02,3,4,4,1,4,8,4,5,7,8,6,4,3,2
Le Sacre du Printemps/Part1 - Igor Stravinsky (none),00:20-00:40,10,1,1,10,10,9,4,5,7,4,7,9,2,10
The Leaving Song - Chris Garneau (INTRO),00:00-00:22,1,1,1,1,2,1,10,5,5,10,4,1,8,2
Space Oddity (feat. Neil Gaiman) - Jherek Bischoff & Amanda Palmer (CHORUS),01:36-02:00,7,1,4,1,3,7,4,7,8,9,7,7,5,7
Gobbledigook - Sigur Rós (VERSE),01:30-01:55,8,1,8,1,8,8,3,8,7,9,8,3,9,4
Love Like This – Wild Belle (VERSE),00:12-00:32,7,8,4,1,2,8,2,5,6,9,4,3,3,4
Open Your Heart - Madonna (CHORUS),00:50-01:15,4,7,3,1,7,6,3,6,7,9,6,4,8,2
I will always love you - Whitney Houston (CHORUS),01:44-02:07,2,6,3,1,3,2,10,3,8,10,7,7,8,2
Tonight (feat. Tina Turner) David Bowie (CHORUS),00:18-00:48,7,8,3,1,4,3,8,5,5,9,7,6,8,3
A new Error - Moderat (none),00:30-00:50,8,5,7,1,5,7,8,5,6,3,3,2,2,3
The Show Must Go On - Queen (CHORUS),00:57-01:21,4,3,7,1,3,2,8,2,8,9,7,5,3,4
Cosmic Love - Florence + the machine (VERSE),00:20-00:43,3,1,3,1,3,2,9,8,6,8,7,4,8,4
Gunshot - Lykke Li (CHORUS),00:44-01:04,9,4,8,3,4,8,9,3,8,9,4,3,7,4
Sense - Tom Odell (CHORUS),01:05-01:34,1,1,3,1,2,8,8,3,7,7,7,5,3,4
Don't stop me now - Queen (CHORUS),01:05-01:27,9,8,4,1,8,8,3,6,8,10,7,8,9,4
