Girl on Fire (Inferno Version) - Alicia Keys (INTRO),00:00-00:20,10,10,7,6,4,9,7,6,5,4,3,1,10,7
Berceuse Op. 23 No. 1 - Mel Bonis (none),00:00-00:23,1,1,4,3,1,2,10,5,6,10,7,7,1,5
Rebel Girl – Bikini Kill (VERSE),00:10-00:35,8,10,10,6,9,10,4,10,3,5,3,3,10,4
Detroit - Marcus Miller (CHORUS),00:00-00:21,9,2,2,10,4,6,3,1,6,5,3,2,10,9
Chandelier - Sia (CHORUS),00:30-00:55,10,10,10,5,3,7,9,4,10,10,8,7,1,6
You don't know my name - Alicia Keys (CHORUS),00:33-00:57,3,3,3,6,3,2,9,3,2,10,5,6,1,7
Dry and Dusty - Fever Ray (CHORUS),01:20-01:42,2,2,4,2,3,2,8,1,1,6,4,3,1,5
Beat Connection - LCD Soundsystem (none),00:20-00:40,10,10,10,3,9,8,1,8,5,5,5,1,5,4
Aladdin Sane - David Bowie (INTERLUDE),02:00-02:30,7,8,4,7,8,5,8,6,6,1,8,8,1,10
Loud Pipes - Ratatat (none),00:00-00:20,10,8,9,2,3,7,2,2,10,7,4,3,1,4
Porno - Arcade Fire (INTRO),00:10-00:30,10,9,7,6,3,6,8,7,6,7,6,2,1,4
Comptine d'un autre été - Yann Tiersen (none),00:30-00:55,3,1,1,1,7,1,10,5,5,10,9,5,1,6
Another Star - Stevie Wonder (C-part),02:21-03:00,7,6,5,7,8,4,9,6,6,8,6,4,10,7
What is hip? - Tower of Power (INTRO),00:00-00:20,10,8,5,10,7,9,4,8,4,7,7,4,10,10
People Pleaser - Andy Allo (INTRO),00:18-00:40,10,10,10,7,2,10,2,2,1,7,7,5,10,5
Bad - Michael Jackson (INTRO),00:00-00:20,10,4,7,10,8,5,6,9,10,8,2,2,10,7
Monument (The Inevitable End Version) - Röyksopp (CHORUS),00:40-01:02,10,9,9,1,6,3,7,10,6,6,4,5,1,5
Le Sacre du Printemps/Part1 - Igor Stravinsky (none),00:20-00:40,10,1,1,10,8,10,3,5,5,1,7,8,1,10
The Leaving Song - Chris Garneau (INTRO),00:00-00:22,1,1,1,1,1,1,10,5,5,9,3,1,1,3
Space Oddity (feat. Neil Gaiman) - Jherek Bischoff & Amanda Palmer (CHORUS),01:36-02:00,5,2,2,5,8,2,6,5,3,5,4,4,1,5
Gobbledigook - Sigur Rós (VERSE),01:30-01:55,10,1,7,10,9,6,7,5,6,6,6,4,1,9
Love Like This – Wild Belle (VERSE),00:12-00:32,8,4,6,7,1,3,2,1,4,8,4,3,10,3
Open Your Heart - Madonna (CHORUS),00:50-01:15,6,9,6,4,7,5,6,6,6,10,7,3,10,3
I will always love you - Whitney Houston (CHORUS),01:44-02:07,2,3,3,3,1,1,10,3,7,9,8,4,1,3
Tonight (feat. Tina Turner) David Bowie (CHORUS),00:18-00:48,8,8,3,8,5,3,5,1,3,8,3,4,10,2
A new Error - Moderat (none),00:30-00:50,9,9,9,2,7,5,6,4,5,7,3,3,10,1
The Show Must Go On - Queen (CHORUS),00:57-01:21,5,9,7,3,4,9,8,7,4,6,5,4,1,3
Cosmic Love - Florence + the machine (VERSE),00:20-00:43,1,1,2,5,10,1,10,10,3,7,9,3,1,6
Gunshot - Lykke Li (CHORUS),00:44-01:04,6,8,8,6,8,8,8,3,2,7,5,4,10,5
Sense - Tom Odell (CHORUS),01:05-01:34,7,1,4,7,2,1,10,5,6,8,6,7,1,9
Don't stop me now - Queen (CHORUS),01:05-01:27,10,9,5,9,7,8,7,10,5,7,7,4,10,7
